Output Number, Steps To Reach 1, Cache Hit Rate
43, 29, 0.00
55, 112, 0.00
99, 25, 0.00
69, 14, 0.00
64, 6, 0.00
84, 9, 0.00
95, 105, 0.00
56, 19, 0.00
36, 21, 0.00
13, 9, 0.00
64, 6, 0.10
31, 106, 0.10
18, 20, 0.10
98, 25, 0.10
63, 107, 0.10
97, 118, 0.10
27, 111, 0.10
64, 6, 0.20
77, 22, 0.20
92, 17, 0.20
20, 7, 0.20
53, 11, 0.20
43, 29, 0.30
56, 19, 0.40
96, 12, 0.40
9, 19, 0.40
98, 25, 0.50
7, 16, 0.50
19, 20, 0.50
97, 118, 0.60
4, 2, 0.60
47, 104, 0.60
22, 15, 0.60
56, 19, 0.70
89, 30, 0.70
15, 17, 0.70
28, 18, 0.70
66, 27, 0.70
9, 19, 0.80
95, 105, 0.90
94, 105, 0.90
53, 11, 1.00
40, 8, 1.00
41, 109, 1.00
53, 11, 1.10
13, 9, 1.20
95, 105, 1.30
90, 17, 1.30
40, 8, 1.40
39, 34, 1.40
7, 16, 1.50
25, 23, 1.50
93, 17, 1.50
89, 30, 1.60
41, 109, 1.70
90, 17, 1.80
13, 9, 1.90
41, 109, 2.00
9, 19, 2.10
87, 30, 2.10
42, 8, 2.10
67, 27, 2.10
16, 4, 2.10
62, 107, 2.10
92, 17, 2.20
12, 9, 2.20
33, 26, 2.20
34, 13, 2.20
60, 19, 2.20
78, 35, 2.20
25, 23, 2.30
47, 104, 2.40
52, 11, 2.40
98, 25, 2.50
18, 20, 2.60
7, 16, 2.70
59, 32, 2.70
17, 12, 2.70
41, 109, 2.80
85, 9, 2.80
29, 18, 2.80
52, 11, 2.90
29, 18, 3.00
57, 32, 3.00
47, 104, 3.10
61, 19, 3.10
18, 20, 3.20
52, 11, 3.30
73, 115, 3.30
75, 14, 3.30
17, 12, 3.40
68, 14, 3.40
76, 22, 3.40
39, 34, 3.50
94, 105, 3.60
57, 32, 3.70
82, 110, 3.70
5, 5, 3.70
62, 107, 3.80
10, 6, 3.80
83, 110, 3.80
31, 106, 3.90
87, 30, 4.00
59, 32, 4.10
35, 13, 4.10
32, 5, 4.10
20, 7, 4.20
31, 106, 4.30
94, 105, 4.40
14, 17, 4.40
73, 115, 4.50
37, 21, 4.50
97, 118, 4.60
66, 27, 4.70
35, 13, 4.80
89, 30, 4.90
49, 24, 4.90
32, 5, 5.00
50, 24, 5.00
80, 9, 5.00
30, 18, 5.00
26, 10, 5.00
55, 112, 5.10
26, 10, 5.20
82, 110, 5.30
19, 20, 5.40
95, 105, 5.50
33, 26, 5.60
73, 115, 5.70
75, 14, 5.80
28, 18, 5.90
63, 107, 6.00
14, 17, 6.10
45, 16, 6.10
9, 19, 6.20
66, 27, 6.30
23, 15, 6.30
97, 118, 6.40
90, 17, 6.50
53, 11, 6.60
15, 17, 6.70
13, 9, 6.80
35, 13, 6.90
89, 30, 7.00
97, 118, 7.10
100, 25, 7.10
36, 21, 7.20
58, 19, 7.20
67, 27, 7.30
77, 22, 7.40
88, 17, 7.40
